Inv_Year_ID,Province_ID,EF_Category_ID,EF_Category_Name,Population_EF_Category,Population,CH4_Emissions_EF_Category_GgYear,CH4_Emissions_MM_Category,EF_MT_CO2e,MM_MTCO2e,
1995,ON,5,Buffalo,2.0768,2.0768,0.114224,0.006585168,0.003198272,0.000184385,
1995,ON,6,Horse,76.2688,76.2688,1.3728384,0.198643325,0.038439475,0.005562013,
1995,ON,7,Llama and alpaca,0.9308,0.9308,0.0074464,0.000310356,0.000208499,8.68997E-06,
1995,ON,8,Swine,3100.325,3100.325,4.6504875,13.45776934,0.13021365,0.376817541,
1995,ON,9,Poultry,38704.9226,38704.9226,0,1.349064706,0,0.037773812,
1995,ON,11,Mules and Asses,2.324,2.324,0.02324,0.00176624,0.00065072,4.94547E-05,
1995,ON,12,Deer,0,0,0,0,0,0,
1995,ON,13,Elk,0,0,0,0,0,0,
1995,ON,14,Wild boars,1.7348,1.7348,0.0026022,0.000977461,7.28616E-05,2.73689E-05,
1995,ON,15,Rabbit,15.70643977,15.70643977,0,0.001256515,0,3.51824E-05,
1995,ON,16,Mink,94.4,94.4,0,0.064192,0,0.001797376,
1995,ON,17,Fox,2.14,2.14,0,0.0014552,0,4.07456E-05,
1995,PE,1,Dairy Cattle,16.8,16.8,1.884701524,0.195289504,0.052771643,0.005468106,
1995,PE,2,Non-Dairy Cattle,76.45,76.45,3.601459,0.181898952,0.100840852,0.005093171,
1995,PE,3,Sheep and Lamb,3.25,3.25,0.026,0.000918149,0.000728,2.57082E-05,
1995,PE,4,Goat,0.2044,0.2044,0.001022,6.45659E-05,0.000028616,1.80785E-06,
1995,PE,5,Buffalo,0.053866667,0.053866667,0.002962667,0.000123657,8.29547E-05,3.46241E-06,
1995,PE,6,Horse,1.8734,1.8734,0.0337212,0.004879301,0.000944194,0.00013662,
1995,PE,7,Llama and alpaca,0,0,0,0,0,0,
1995,PE,8,Swine,115,115,0.1725,0.35345311,0.00483,0.009896687,
1995,PE,9,Poultry,370.8094,370.8094,0,0.009956355,0,0.000278778,
