Livestock,Population 1990,Population 2005,Population 2021,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Cattle,11890.30,15902.50,12080.00,8.14,8.33,8.88,9.06,9.50,10.00,10.10,10.07,10.19,10.30,10.54,10.87,10.75,10.79,10.96,11.14,10.64,10.31,10.04,9.45,9.07,8.79,8.84,8.76,8.64,8.67,8.74,8.73,8.78,8.74,8.72,8.74,8.65
Dairy cattle,1370.15,1033.25,977.40,1.74,1.68,1.66,1.62,1.64,1.67,1.72,1.70,1.64,1.60,1.53,1.54,1.47,1.38,1.29,1.17,1.00,0.96,0.95,0.93,0.92,0.89,0.89,0.92,0.90,0.88,0.87,0.87,0.90,0.90,0.89,0.91,0.90
Non-dairy cattle,10520.15,14869.25,11102.60,6.40,6.65,7.22,7.44,7.86,8.33,8.38,8.37,8.55,8.71,9.01,9.34,9.27,9.42,9.68,9.97,9.64,9.36,9.10,8.52,8.15,7.90,7.95,7.84,7.74,7.79,7.86,7.86,7.88,7.84,7.83,7.83,7.76
Sheep,732.45,1084.05,933.00,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.05,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04,0.04
Swine,10211.40,15117.50,14137.20,0.33,0.34,0.33,0.30,0.29,0.30,0.29,0.26,0.26,0.24,0.24,0.24,0.24,0.23,0.23,0.22,0.21,0.19,0.18,0.16,0.16,0.16,0.16,0.16,0.16,0.16,0.17,0.17,0.17,0.17,0.17,0.17,0.17
Other livestock,102404.57,134688.87,151480.34,1.71,1.72,1.76,1.79,1.83,1.87,1.92,1.99,2.07,2.15,2.22,2.30,2.30,2.31,2.31,2.31,2.32,2.33,2.32,2.33,2.34,2.34,2.36,2.38,2.41,2.42,2.42,2.40,2.35,2.31,2.27,2.24,2.24
Buffalo,15.78,185.60,149.54,0.01,0.01,0.02,0.03,0.03,0.04,0.04,0.06,0.08,0.10,0.12,0.14,0.15,0.16,0.17,0.18,0.19,0.18,0.17,0.15,0.14,0.12,0.12,0.12,0.12,0.12,0.12,0.12,0.13,0.14,0.14,0.15,0.15
Camels,2.03,30.52,12.60,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Deer,0.00,118.28,29.66,NA,NA,NA,NA,NA,NA,NA,0.01,0.01,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.02,0.02,0.02,0.02,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01
Goats,85.65,178.73,253.28,0.01,0.01,0.01,0.01,0.01,0.01,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.02,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03,0.03
Horses,363.95,455.29,183.73,0.19,0.18,0.19,0.20,0.21,0.21,0.22,0.22,0.22,0.22,0.23,0.23,0.23,0.23,0.23,0.23,0.23,0.22,0.21,0.21,0.20,0.19,0.18,0.17,0.16,0.15,0.14,0.13,0.12,0.11,0.10,0.09,0.09
Mules and Asses,9.79,10.82,6.21,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Poultry,101487.90,133260.04,150531.32,1.44,1.46,1.49,1.51,1.53,1.56,1.58,1.63,1.68,1.73,1.77,1.82,1.82,1.81,1.80,1.80,1.79,1.81,1.83,1.85,1.87,1.89,1.93,1.96,1.99,2.02,2.06,2.03,2.01,1.98,1.96,1.93,1.93
Rabbit,37.10,28.10,20.14,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Fur-bearing Animals,397.68,398.16,289.57,0.04,0.04,0.04,0.03,0.03,0.03,0.03,0.03,0.03,0.04,0.03,0.03,0.03,0.04,0.04,0.04,0.04,0.05,0.05,0.06,0.07,0.07,0.07,0.08,0.08,0.08,0.06,0.06,0.05,0.03,0.03,0.03,0.03
Others,4.69,23.34,4.30,0.00,0.00,0.00,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.01,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
