ID,First author,Pub. year,Journal,Region,Start Year,End,Period,Season,Research type,Technique,Livestock,Livestock Sub,Collection Setting,Feed additives,Manure type,Treatment,GHG source,Field crop,CO2,CH4,N2O,NH3,Texture,Application time
1,VanderZaag,2022,Journal of Environmental Quality,Manitoba,2016,2018,Multiple Years,Year-Round,Farm,Micrometeorology,Swine,"Growers, Finishers",Indoor,NA,Liquid,Agitation,Storage,NA,F,T,F,F,NA,NA
2,Romero,2022,Science of the Total Environment,Alberta,2019,2019,Single Year,Growing,Farm,Soil chamber,Beef Cattle,Steers,Indoor,Biochar,Solid,"Compost, Stockpile",Storage,NA,T,T,T,F,NA,NA
3,Turner,2022,"Resources, Conservation & Recycling",National,NA,NA,Single Year,NA,LCA,Mixed,Poultry,Layers,Mixed,NA,Solid,NA,"Field, Storage ",Annual crop,F,T,T,T,NA,NA
4,Gong,2022,Frontiers of Environmental Science and Engineering,Alberta,2019,2019,Single Year,Growing,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,T,F,T,F,NA,NA
5,Mahato,2022,Bioresource Technology,Quebec,2020,2020,Single Year,Growing,Pilot,Incubation,Poultry,Whole herd,Indoor,NA,"Liquid, Solid","Agitation, Digester ",Storage,NA,T,T,F,F,NA,NA
6,Wedwitschka,2022,Waste Management,Alberta,NA,NA,Single Year,NA,Pilot,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,"Agitation, Digester ",Storage,NA,F,T,F,F,NA,NA
7,Abbasi,2021,Biosystems Engineering,Ontario,2012,2015,Multiple Years,Growing,Field,"Soil chamber, Modelling",Dairy Cattle,Whole herd,Indoor,NA,Solid,NA,Field,Annual crop,T,F,F,F,Med,Spring
8,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,"Animal chamber, Incubation",Dairy Cattle,Cows,Indoor,Diet,Solid,NA,Enteric,NA,F,T,F,F,NA,NA
9,Benchaar,2021,Journal of Dairy Science,Quebec,NA,NA,Single Year,NA,Farm,Animal chamber,Dairy Cattle,Cows,Indoor,Diet,"Liquid, Solid",Digester,"Enteric, Storage",NA,F,T,F,F,NA,NA
10,Holtshausen,2021,Animals,"Alberta, Quebec",NA,NA,Single Year,Year-Round,LCA,Mixed,Dairy Cattle,Cows,Indoor,Diet,Solid,Stockpile,"Enteric, Field, Storage","Annual crop, Grass",T,T,T,F,NA,NA
11,Hung,2021,"Agriculture, Ecosystems and Environment",Quebec,2018,2019,Single Year,Non-Growing,Field,Modelling,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Med,Fall
12,Hung,2021,Applied Soil Ecology,Quebec,2071,2100,Single Year,Non-Growing,Field,Soil chamber,Dairy Cattle,Cows,Indoor,NA,"Liquid, Solid",Compost,Field,Annual crop,F,F,T,F,Med,Fall
13,Pokharel,2021,Journal of Environmental Management,Alberta,NA,NA,Single Year,NA,Lab,Incubation,Dairy Cattle,Whole herd,Indoor,NA,Solid,Pyrolysis,Field,NA,F,F,T,F,Med,NA
